rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
191,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther (TDE/DMG) PS",7,172,58,"468176"
192,"spotify:track:5yJaXWIErrrsjQ3J0eR5aK","Lord Huron","The Night We Met","Lord Huron",41,199,141,"468064"
193,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Eminem Catalog PS",37,168,203,"467862"
194,"spotify:track:2kY8nciDE4zEn6y2BCd7Fk","Miljö","Wolkeplatz","Rhingtön",131,-1,2,"467815"
195,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",29,-1,63,"466337"
196,"spotify:track:1uigwk5hNV84zRd5YQQRTk","Natasha Bedingfield","Pocketful of Sunshine","Epic/Phonogenic",196,-1,1,"464681"
197,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,173,288,"462819"
198,"spotify:track:0G5x5rALxKOkwicMjKta79","CAPO","GHETTOGIRL","Capo Distributed/WM Germany",5,179,36,"460545"
199,"spotify:track:0WsC4ETIXyiHDMXRaPMvKe","Gunna, Burna Boy","wgft (feat. Burna Boy)","300 Entertainment",158,158,6,"459427"
200,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",97,180,95,"458782"
