rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
44,"spotify:track:0Ohuw01rSI3aVbxh2agxwh","Jazeek, reezy","Miami","NINETYNINE MUSIC x Good Kid Records x Ventura Records",1,23,5,"851952"
45,"spotify:track:5YqhT9Jiw4wz1qliKQksoZ","Lūcadelic","Erlkönig","Warner Music Central Europe",33,41,15,"819456"
46,"spotify:track:1EDPVGbyPKJPeGqATwXZvN","Linkin Park","The Emptiness Machine","Warner Records",1,35,76,"818992"
47,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",24,46,268,"817500"
48,"spotify:track:7tICCrK3CcyRFKza7yrR0z","sombr","Homewrecker","Warner Records",39,39,2,"804188"
49,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",25,40,46,"798394"
50,"spotify:track:2jZhxHB4xaTaxktl8bcl6z","Nancy Franck","Schnelle Brille","Xtreme Sound Recordings",50,174,7,"785898"
51,"spotify:track:1JjHQ4lfAjbDq7wmOmH9wM","Pashanim, Ceren","Shabab(e)s im VIP","Urban",1,42,43,"765997"
52,"spotify:track:6te4u5fA8mtW1DYoB9YV4t","Paveier","Leev Marie","Pavement",52,126,7,"756332"
53,"spotify:track:7cjoZVmWe2xsGR4wcXiV2v","Lil Uzi Vert","What You Saying","Roc Nation Distribution",36,36,7,"756314"
54,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",30,30,5,"751177"
55,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",37,56,70,"741238"
56,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",42,52,5,"737297"
57,"spotify:track:6TmFBRcA3nbLgASXmMz7Ch","Cat Ballou","Et jitt kei Wood","Pavement",34,136,7,"719010"
58,"spotify:track:3yWuTOYDztXjZxdE2cIRUa","Taylor Swift","Opalite","Taylor Swift",2,25,19,"714930"
59,"spotify:track:1OcV53oesLQw3VTW9I3uD3","James Hype, Sam Harper, Bobby Harvey","Waterfalls (feat. Sam Harper & Bobby Harvey)","Universal-Island Records Ltd.",24,44,23,"705802"
60,"spotify:track:520aS15JpyeEIPtgchSHyP","DJ Ötzi","Tirol","Electrola",13,49,10,"702081"
61,"spotify:track:1B2s3CpX2PV0YN7DkLSQ4b","Haftbefehl, Bazzazian","069","Urban",2,54,32,"698732"
62,"spotify:track:48dosoGX5Bey5mk6BhCgKM","Kasalla","Stadt met K","Pavement",62,143,6,"697017"
63,"spotify:track:7vg9noSnFEyPfwLiaCW4vi","ZXKAI, slxughter","NO BATIDÃO","ZXKAI",63,83,5,"696545"
64,"spotify:track:4UfAtfhnKnBKZbyiVDobU2","Räuber, Dj Aaron","Oben unten - Party Edit","Electrola",64,194,3,"694920"
65,"spotify:track:1XZK1B904mtFv1Ze3Rgeg2","FAYAN, Dalton","VERLIEBT IN MICH","VSIL x Between Worlds x Ventura Records",13,47,25,"693237"
66,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",8,61,76,"690153"
67,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",15,60,358,"689880"
68,"spotify:track:40NEnuv5VHboABOWbRZgxQ","Killermichel, Selina","Gute Laune","Xtreme Sound Recordings",68,-1,1,"689535"
69,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",62,90,190,"689428"
70,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",36,65,277,"684706"
71,"spotify:track:3ut6td3I2l0z63rSt1HOwz","Mickie Krause, Julian Sommer","Handwerker","Electrola",60,188,9,"683568"
72,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",53,68,16,"683515"
73,"spotify:track:7loscGnLhciYbQYJSuRyVW","Julian Sommer, Luca-Dante Spadafora","WENN ICH NÜCHTERN WÄR","Zeitgeist",73,-1,1,"675514"
74,"spotify:track:0wHayguZd1CeQDLYohXNMS","Kato, Jon","Turn The Lights Off","disco:wax",22,62,10,"664000"
75,"spotify:track:3zEN0ii6s4DHHBpnTp3RP7","Empire Of The Sun","We Are The People","EMI Recorded Music Australia Pty Ltd",57,67,35,"663348"
76,"spotify:track:5qEyqquRgKxpv0VKvcNXbC","Querbeat","Tschingderassabum","Rhingtön",76,130,4,"663173"
77,"spotify:track:6wHpLMmp98aHcV8L1JFrj8","Alex Warren","Eternity","Atlantic Records",5,57,31,"659870"
78,"spotify:track:7ySUcLPVX7KudhnmNcgY2D","Rihanna","S&M","Def Jam Recordings",64,72,61,"651967"
79,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,79,70,"651015"
80,"spotify:track:4DLdkx6mWN8CK7H1CzsTaC","SadiQ, Dú Maroc, KC Rebell, Kolja Goldstein","Ombre Nomade","SeitenaufNull",35,55,11,"638700"
81,"spotify:track:6AX3qLyLXuzs0VTyaCb90l","CAPO, Haftbefehl","MUTTER","GOLD LEAGUE/CAPO",81,-1,1,"633747"
82,"spotify:track:5LhlFA9WBKwAVWHd6bdpsQ","Cave","Haus mit Boot","Epic/DEMO",82,-1,1,"633704"
83,"spotify:track:0TFTAtCYhp2tQ9KcJIZb55","sombr","undressed","Warner Records",20,66,46,"633495"
